iter	Logloss
0	0.5497612174
1	0.4666065412
2	0.4143429129
3	0.3698687657
4	0.3488191616
5	0.3334427752
6	0.3166565901
7	0.3101976384
8	0.3050404554
9	0.2948166874
10	0.2887267238
11	0.2824923292
12	0.2782809208
13	0.2728888266
14	0.2696345193
15	0.2654562182
16	0.2627860543
17	0.2590549338
18	0.2530008174
19	0.2494221584
20	0.2443551287
21	0.2422696642
22	0.238114127
23	0.2360167825
24	0.2332550812
25	0.232022025
26	0.2312395848
27	0.2307375249
28	0.2299691925
29	0.2270506243
30	0.2266463558
31	0.2245301492
32	0.2228797695
33	0.2201665104
34	0.2177560436
35	0.216634928
36	0.2149228036
37	0.2135879124
38	0.2130926644
39	0.212521044
40	0.2091587197
41	0.2073656409
42	0.2063941411
43	0.2048112466
44	0.2041050709
45	0.2037768555
46	0.2022637449
47	0.2013309108
48	0.2005823866
49	0.1993675483
50	0.1987183337
51	0.1983742055
52	0.1979977188
53	0.1973969945
54	0.1969518051
55	0.1961935359
56	0.1959429027
57	0.1948923601
58	0.1938872801
59	0.1932122563
60	0.1923410677
61	0.1913261392
62	0.1903192891
63	0.1892599346
64	0.1886157793
65	0.1874393692
66	0.1872525657
67	0.1868286918
68	0.1866646696
69	0.1854746508
70	0.1846587023
71	0.184400686
72	0.1840046725
73	0.1830324217
74	0.1828187256
75	0.1826493846
76	0.1822773241
77	0.1820370276
78	0.1818053305
79	0.181596611
80	0.1814279556
81	0.1811362272
82	0.1810211225
83	0.1801631601
84	0.1800046169
85	0.1793873226
86	0.1788292705
87	0.1785721054
88	0.1781821235
89	0.1774074762
90	0.1772088525
91	0.1770504281
92	0.1767749557
93	0.1763985236
94	0.1758231583
95	0.1750366189
96	0.174838028
97	0.1747167053
98	0.1743742327
99	0.1739353093
100	0.1733911013
101	0.1728243125
102	0.1725330745
103	0.1719989035
104	0.1706040322
105	0.1703953411
106	0.1698382045
107	0.1689683173
108	0.1688146689
109	0.1681182807
110	0.1677358791
111	0.1675878993
112	0.1672373483
113	0.1669413823
114	0.1667865355
115	0.1665427017
116	0.1663804425
117	0.166221223
118	0.1652860315
119	0.1643822468
120	0.1641812052
121	0.1638567298
122	0.1634234565
123	0.1623195392
124	0.1621389814
125	0.1612778429
126	0.1607888145
127	0.1606346545
128	0.1604414231
129	0.1599103699
130	0.15956387
131	0.1591118486
132	0.158843647
133	0.1582872189
134	0.1573947481
135	0.1566803632
136	0.1560665458
137	0.1557131446
138	0.1555778918
139	0.1553936789
140	0.1551348746
141	0.154749024
142	0.1545960748
143	0.1544861619
144	0.1543795237
145	0.1540215361
146	0.1538270765
147	0.1533684126
148	0.1532667084
149	0.1529894229
150	0.1528432328
151	0.1527709242
152	0.1526272621
153	0.1523811858
154	0.1522774353
155	0.1519509572
156	0.1518123452
157	0.1516360942
158	0.1514006135
159	0.1512122737
160	0.151081622
161	0.1508457811
162	0.1501020301
163	0.149658935
164	0.1492541602
165	0.149173808
166	0.1488853019
167	0.1486818973
168	0.14858941
169	0.1484365491
170	0.1483026581
171	0.1481128595
172	0.1479327055
173	0.1476941071
174	0.1474093127
175	0.1472627705
176	0.1471406348
177	0.1470563752
178	0.1467687514
179	0.1465711915
180	0.1462720577
181	0.1459655162
182	0.1458532829
183	0.145719108
184	0.1455959582
185	0.1453793607
186	0.1452488114
187	0.1450253018
188	0.1447025343
189	0.1446281744
190	0.1445527164
191	0.1441170573
192	0.1438292051
193	0.143744169
194	0.1436531448
195	0.1435701239
196	0.1434860998
197	0.1433713194
198	0.1432824685
199	0.1431818908
