iter	Passed	Remaining
0	33	6651
1	67	6697
2	102	6709
3	139	6841
4	166	6488
5	197	6399
6	229	6325
7	260	6244
8	289	6151
9	321	6102
10	347	5977
11	374	5869
12	404	5821
13	430	5722
14	456	5627
15	482	5553
16	510	5496
17	540	5463
18	569	5423
19	598	5382
20	629	5366
21	656	5315
22	680	5235
23	704	5168
24	729	5103
25	753	5045
26	779	4994
27	808	4966
28	844	4980
29	871	4935
30	897	4892
31	925	4857
32	952	4820
33	979	4781
34	1008	4755
35	1037	4725
36	1063	4684
37	1089	4643
38	1115	4603
39	1137	4549
40	1159	4496
41	1184	4455
42	1208	4413
43	1232	4371
44	1254	4321
45	1276	4274
46	1299	4229
47	1321	4185
48	1344	4143
49	1367	4103
50	1393	4070
51	1418	4036
52	1444	4006
53	1469	3972
54	1490	3929
55	1515	3895
56	1538	3860
57	1564	3829
58	1593	3808
59	1627	3798
60	1669	3803
61	1705	3795
62	1735	3774
63	1775	3773
64	1812	3765
65	1853	3763
66	1945	3861
67	1991	3866
68	2031	3857
69	2062	3830
70	2093	3803
71	2119	3767
72	2144	3731
73	2167	3689
74	2199	3665
75	2228	3635
76	2259	3608
77	2294	3589
78	2331	3570
79	2361	3542
80	2395	3518
81	2419	3481
82	2445	3447
83	2474	3416
84	2499	3381
85	2528	3351
86	2551	3314
87	2577	3280
88	2603	3247
89	2627	3211
90	2654	3179
91	2676	3141
92	2701	3108
93	2724	3072
94	2747	3036
95	2775	3006
96	2800	2973
97	2823	2939
98	2848	2906
99	2872	2872
100	2894	2836
101	2918	2804
102	2943	2772
103	2972	2743
104	2999	2713
105	3023	2681
106	3048	2649
107	3074	2618
108	3100	2588
109	3124	2556
110	3148	2524
111	3172	2492
112	3198	2462
113	3221	2430
114	3242	2396
115	3265	2365
116	3287	2332
117	3309	2299
118	3332	2268
119	3355	2237
120	3379	2206
121	3402	2175
122	3438	2152
123	3461	2121
124	3482	2089
125	3505	2058
126	3530	2029
127	3555	1999
128	3580	1970
129	3607	1942
130	3635	1914
131	3658	1884
132	3681	1854
133	3702	1823
134	3725	1793
135	3748	1763
136	3774	1735
137	3798	1706
138	3821	1676
139	3843	1647
140	3866	1617
141	3888	1588
142	3910	1558
143	3933	1529
144	3956	1500
145	3978	1471
146	4007	1444
147	4032	1416
148	4055	1387
149	4081	1360
150	4107	1332
151	4132	1304
152	4155	1276
153	4177	1247
154	4202	1219
155	4221	1190
156	4241	1161
157	4261	1132
158	4282	1104
159	4304	1076
160	4325	1047
161	4346	1019
162	4368	991
163	4397	965
164	4429	939
165	4454	912
166	4477	884
167	4504	857
168	4529	830
169	4556	804
170	4586	777
171	4610	750
172	4636	723
173	4659	696
174	4684	669
175	4708	642
176	4735	615
177	4760	588
178	4789	561
179	4814	534
180	4838	507
181	4881	482
182	4910	456
183	4946	430
184	4978	403
185	5010	377
186	5042	350
187	5080	324
188	5114	297
189	5144	270
190	5181	244
191	5222	217
192	5261	190
193	5298	163
194	5338	136
195	5371	109
196	5402	82
197	5439	54
198	5462	27
199	5483	0
